"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,111,0.9758,0.82,-0.22,6.08e-90
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm1_0_atm",1,104,0.9805,0.73,0.96,4.59e-89
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,265,0.9975,0.84,-1.1,0
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,124,0.9967,0.89,0.096,4.74e-153
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,134,0.9902,0.89,-2.2,1.35e-134
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,179,0.9881,0.79,-0.68,2.6e-172
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,111,0.9813,0.8,-0.3,4.93e-96
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,265,0.9977,0.82,-1.2,0
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,124,0.9971,0.87,-0.0062,1.35e-156
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,134,0.991,0.85,-2.4,5.34e-137
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,179,0.9897,0.73,-0.68,6.03e-178
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,111,0.984,0.76,0.0068,9.2e-100
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d7_e7_SD_A","pm10_0_atm",1,264,0.9956,0.81,-1.7,5.37999999999985e-311
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d7_e7_SD_A","pm10_0_atm",1,248,0.9927,0.76,-1.7,8.22e-265
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d7_e7_SD_A","pm10_0_atm",1,131,0.9792,0.8,-4.5,2.7e-110
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d7_e7_SD_A","pm2_5_atm",1,264,0.9965,0.74,-1.7,2.96439387504748e-323
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d7_e7_SD_A","pm2_5_atm",1,131,0.9819,0.72,-4.4,3.16e-114
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d7_e7_SD_B","pm10_0_atm",1,264,0.9956,0.77,-1.1,1.31000000000002e-310
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d7_e7_SD_B","pm10_0_atm",1,131,0.9909,0.77,-2.7,1.7e-133
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d7_e7_SD_B","pm10_0_atm",1,248,0.9774,0.73,-0.94,2.3e-204
"2018-06-04 17:00","2018-06-04 19:33","60_1_94_58_d7_ea_SD_A","pm10_0_atm",1,110,0.9931,0.95,-0.95,1.73e-118
"2018-06-05 00:30","2018-06-05 06:30","60_1_94_58_d7_ea_SD_A","pm10_0_atm",1,235,0.9859,0.82,-1,1.29e-217
"2018-06-04 19:45","2018-06-05 00:15","60_1_94_58_d7_ea_SD_A","pm10_0_atm",1,189,0.9818,0.85,-1.2,1.04e-164
"2018-06-04 17:00","2018-06-04 19:33","60_1_94_58_d7_ea_SD_A","pm2_5_atm",1,110,0.9955,0.86,-1.2,1.02e-128
"2018-06-04 17:00","2018-06-04 19:33","60_1_94_58_d7_ea_SD_B","pm1_0_atm",1,110,0.9865,0.76,-1.5,8.1e-103
"2018-06-04 17:00","2018-06-04 19:33","60_1_94_58_d7_ea_SD_B","pm10_0_atm",1,110,0.9955,0.95,-1.3,1.54e-128
"2018-06-04 19:45","2018-06-05 00:15","60_1_94_58_d7_ea_SD_B","pm10_0_atm",1,189,0.9922,0.72,-1.6,3.7e-199
"2018-06-04 17:00","2018-06-04 19:33","60_1_94_58_d7_ea_SD_B","pm2_5_atm",1,110,0.9906,0.91,-1.6,3.5e-111
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_90_SD_A","pm10_0_atm",1,294,0.9979,0.81,-1.6,0
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_90_SD_A","pm10_0_atm",1,131,0.9944,0.83,-3.7,2.35e-147
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d8_90_SD_A","pm10_0_atm",1,216,0.9874,0.79,-1.8,3.99e-205
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_90_SD_A","pm2_5_atm",1,294,0.998,0.7,-1.5,0
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_90_SD_A","pm2_5_atm",1,131,0.9929,0.72,-3.9,1.23e-140
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_90_SD_B","pm10_0_atm",1,294,0.9979,0.86,-1.5,0
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_90_SD_B","pm10_0_atm",1,131,0.9932,0.87,-4.3,9.89e-142
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d8_90_SD_B","pm10_0_atm",1,216,0.9876,0.78,-1.7,3.62e-206
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_90_SD_B","pm2_5_atm",1,294,0.9982,0.77,-1.5,0
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_90_SD_B","pm2_5_atm",1,131,0.9918,0.76,-4.4,1.71e-136
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a4_SD_A","pm10_0_atm",1,308,0.9897,0.75,-0.19,2.68e-306
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a4_SD_A","pm10_0_atm",1,280,0.9865,0.79,-0.31,7.87e-262
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a4_SD_B","pm10_0_atm",1,280,0.9951,0.9,-0.84,4.94065645841247e-323
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a4_SD_B","pm10_0_atm",1,308,0.9925,0.94,-0.63,0
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a4_SD_B","pm2_5_atm",1,280,0.9973,0.78,-1.1,0
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a4_SD_B","pm2_5_atm",1,308,0.9964,0.86,-0.98,0
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a7_SD_A","pm1_0_atm",1,278,0.9965,0.72,-1.1,0
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a7_SD_A","pm10_0_atm",1,278,0.9934,0.94,-1,1.68e-302
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a7_SD_A","pm10_0_atm",1,250,0.9882,0.87,-1.3,3.86e-241
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a7_SD_A","pm2_5_atm",1,278,0.9945,0.88,-1.2,5.55000000021949e-314
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a7_SD_A","pm2_5_atm",1,250,0.991,0.75,-1.4,9.02e-256
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a7_SD_B","pm10_0_atm",1,250,0.9957,0.83,-1.4,4.88e-296
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a7_SD_B","pm10_0_atm",1,278,0.9955,0.91,-1,0
"2018-06-02 11:00","2018-06-02 17:30","60_1_94_58_d8_a7_SD_B","pm2_5_atm",1,250,0.997,0.77,-1.4,1.48999999986219e-314
"2018-06-02 23:05","2018-06-03 06:05","60_1_94_58_d8_a7_SD_B","pm2_5_atm",1,278,0.9962,0.87,-1.2,0
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d8_a9_SD_A","pm10_0_atm",1,248,0.9924,0.73,-1.1,7.22e-263
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_a9_SD_A","pm10_0_atm",1,295,0.9907,0.78,-1.2,1.09e-299
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_a9_SD_A","pm10_0_atm",1,131,0.971,0.74,-2.3,4.54e-101
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_a9_SD_A","pm2_5_atm",1,295,0.9919,0.71,-1.3,9.04999999999999e-309
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_a9_SD_B","pm10_0_atm",1,295,0.9957,0.83,-1.8,0
"2018-06-03 13:40","2018-06-03 19:40","60_1_94_58_d8_a9_SD_B","pm10_0_atm",1,248,0.9812,0.7,-1.5,3.64e-214
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_a9_SD_B","pm10_0_atm",1,131,0.9784,0.78,-3.9,2.87e-109
"2018-06-03 23:45","2018-06-04 06:30","60_1_94_58_d8_a9_SD_B","pm2_5_atm",1,295,0.9963,0.78,-1.9,0
"2018-06-03 20:20","2018-06-03 23:30","60_1_94_58_d8_a9_SD_B","pm2_5_atm",1,131,0.9792,0.73,-4.3,2.36e-110
