"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm1_0_atm",1,128,0.9831,0.72,0.77,1.57e-113
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,103,0.9982,0.86,-1.7,9.19e-141
"2018-05-31 17:45","2018-06-01 03:30","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,416,0.9974,0.75,-1.1,0
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,151,0.9967,0.85,-2,6.62e-187
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,120,0.9824,0.83,0.72,2.01e-105
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,128,0.9811,0.95,0.62,1.88e-110
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,103,0.9983,0.81,-1.8,1.03e-141
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,151,0.9976,0.79,-2.1,1.37e-196
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,120,0.9856,0.79,0.64,1.54e-110
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,128,0.9831,0.93,0.42,1.45e-113
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,273,0.9982,0.87,-0.97,0
"2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,164,0.9971,0.93,-1.4,5.93e-207
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,149,0.9951,0.82,-0.59,1.63e-171
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,111,0.9876,0.84,0.051,7.89e-106
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,273,0.9984,0.84,-1.1,0
"2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,164,0.9965,0.87,-1.7,4.48e-201
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,149,0.9908,0.75,-0.58,1.78e-151
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,111,0.9873,0.76,0.5,4.1e-105
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_B","pm10_0_atm",1,273,0.9978,0.86,-1,0
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_B","pm10_0_atm",1,111,0.9934,0.84,-0.65,1.08e-120
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_B","pm10_0_atm",1,149,0.9921,0.8,-0.47,1.96e-156
"2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_B","pm10_0_atm",1,164,0.9898,0.9,-1.5,3.03e-163
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_B","pm2_5_atm",1,273,0.9986,0.85,-1.2,0
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_B","pm2_5_atm",1,111,0.9942,0.8,-0.41,6.82e-124
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_B","pm2_5_atm",1,149,0.9942,0.76,-0.54,3.33e-166
"2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_B","pm2_5_atm",1,164,0.9906,0.87,-1.8,6.16e-166
